616,Zlatan Alomerović,GER
617,Stathis Aloneftis,CYP
618,Alejandro Alonso,ARG
619,Diego Alonso,URU
620,Edu Alonso,ESP
621,Javier Alonso Fraile,ESP
622,Gael Alonso,ESP
623,Iñaki Alonso,
624,Iván Alonso,URU
625,José Antonio García Alonso,ESP
626,Julio Alonso,ESP
627,Júnior Alonso,PAR
628,José Alonso Lara,ESP
629,Iván Alonso López,ESP
630,Marcos Alonso,ESP
631,Mikel Alonso,ESP
632,Marcos Alonso Peña,ESP
633,Pichi Alonso,ESP
634,Txema Alonso,ESP
635,Xabi Alonso,ESP
636,Jérôme Alonzo,FRA
637,Alexandre Alphonse,GLP
638,Mickaël Alphonse,GLP
639,Ünal Alpuğan,GER
640,Sanaa Altama,CHA
641,Diego Altamirano,ESP
642,Giorgio Altare,ITA
643,André Alter,GER
644,Jozy Altidore,USA
645,Adrià Altimira,ESP
646,Sergi Altimira,ESP
647,Batuhan Altıntaş,TUR
648,Halil Altıntop,TUR
649,Hamit Altıntop,TUR
650,Alessandro Altobelli,ITA
651,Simone Altobelli,ITA
652,Luca Altomare,ITA
653,Altube,ESP
654,Sone Aluko,NGA
655,Matías Alustiza,MEX
656,Fermín Álvarez Álvarez,ESP
657,Armando Álvarez,ESP
658,Éder Álvarez Balanta,COL
659,Carlos Álvarez,ESP
660,Cristian Álvarez,ARG
661,Cristian Álvarez,ARG
662,Édgar Álvarez,HON
663,Edson Álvarez,MEX
664,Fran Álvarez,ESP
665,Gastón Álvarez,URU
666,Antonio Álvarez Giráldez,ESP
667,Moisés Álvarez Goya,
668,Hugo Álvarez,ESP
669,Iker Álvarez,AND
670,Íker Álvarez,ESP
671,Jaime Álvarez,ESP
672,Julián Álvarez,ARG
673,Julio Álvarez,VEN
674,Leonel Álvarez,COL
675,Marcos Álvarez,GER
676,Agustín Álvarez Martínez,URU
677,Vicente Álvarez Núñez,ESP
678,Óscar Álvarez,ESP
679,Pablo Álvarez,ESP
