Emmanuel Adebayor,2007-2008,23,TOG,Arsenal,Premier League,36,2926,32.5,32,4,,24,4,28,21,3,3,0,FW
Emmanuel Adebayor,2008-2009,24,TOG,Arsenal,Premier League,26,1876,20.8,21,5,,10,4,14,9,1,1,0,FW
Emmanuel Adebayor,2009-2010,25,TOG,Manchester City,Premier League,26,2207,24.5,25,1,,14,3,17,14,0,0,0,FW
Emmanuel Adebayor,2010-2011,26,TOG,Manchester City,Premier League,8,244,2.7,2,6,,1,0,1,0,1,1,0,FW
Emmanuel Adebayor,2011-2012,27,TOG,Tottenham,Premier League,33,2827,31.4,32,1,,17,11,28,14,3,4,1,FW
Emmanuel Adebayor,2012-2013,28,TOG,Tottenham,Premier League,25,1598,17.8,18,7,,5,1,6,5,0,0,0,FW
Emmanuel Adebayor,2013-2014,29,TOG,Tottenham,Premier League,21,1805,20.1,20,1,,11,4,15,10,1,2,1,FW
Emmanuel Adebayor,2014-2015,30,TOG,Tottenham,Premier League,13,813,9.0,9,4,2,2,1,3,2,0,0,0,FW
Emmanuel Adebayor,2006-2007,22,TOG,Arsenal,Premier League,29,1985,22.1,21,8,,8,3,11,7,1,1,0,FW
Emmanuel Adebayor,2005-2006,21,TOG,Arsenal,Premier League,13,1001,11.1,12,1,,4,4,8,4,0,0,0,FW
Emmanuel Adebayor,2015-2016,31,TOG,Crystal Palace,Premier League,12,619,6.9,7,5,1,1,1,2,1,0,0,0,FW
Val Adedokun,2023-2024,20,IRL,Brentford,Premier League,0,,,0,0,5,,,,,,,,FW
Simon Adingra,2023-2024,21,CIV,Brighton,Premier League,31,2222,24.7,25,6,1,6,1,7,6,0,0,0,FW
Albert Adomah,2016-2017,28,GHA,Middlesbrough,Premier League,2,122,1.4,1,1,0,0,0,0,0,0,0,0,MF
Adrián,2013-2014,26,ESP,West Ham,Premier League,20,1800,20.0,20,0,,0,0,0,0,0,0,0,GK
Adrián,2014-2015,27,ESP,West Ham,Premier League,38,3392,37.7,38,0,0,0,0,0,,,,,GK
Adrián,2015-2016,28,ESP,West Ham,Premier League,32,2880,32.0,32,0,0,0,0,0,0,0,0,0,GK
Adrián,2016-2017,29,ESP,West Ham,Premier League,16,1440,16.0,16,0,22,0,0,0,0,0,0,0,GK
Adrián,2017-2018,30,ESP,West Ham,Premier League,19,1710,19.0,19,0,19,0,0,0,0,0,0,0,GK
Adrián,2018-2019,31,ESP,West Ham,Premier League,0,,,0,0,38,,,,,,,,GK
Adrián,2019-2020,32,ESP,Liverpool,Premier League,11,875,9.7,9,2,27,0,0,0,0,0,0,0,GK
Adrián,2020-2021,33,ESP,Liverpool,Premier League,3,270,3.0,3,0,27,0,0,0,0,0,0,0,GK
Adrián,2021-2022,34,ESP,Liverpool,Premier League,0,,,0,0,5,,,,,,,,GK
